Meanings,English Definition,POS,J Translation
complement,something needed to complete or make perfect,n,補足， 補足する； 完全にする
comply,to act in agreement with another's wishes; to obey a rule,verb,従う
comprehension,ability to understand,n,理解
configuration,a shape or outline; a method of arrangement,n,形状
consensus,a decision that is shared by most of the members of a group,n pl.,合意；コンセンサス
contrary,different; opposite,adj,逆の，反対
cord,"a long, strong material, thicker than string but not as thick as rope; an electrical wire",n,ひも；コード
credibility,quality of being believable or deserving of trust,n,信頼性
critique,a review of the quality of a work,n,批評
crude,"basic or made without skill, such as a crude drawing",adj,原油，自然の；粗雑な
deadline,a date or time before which something must be done,n,締め切り
decay,to be slowly broken down by natural processes,verb,腐敗；減衰，腐敗する；崩壊する
defect,a problem; a fault,n,欠陥
deficiency,without something that is necessary,n,欠乏
dependence,relying on someone for (financial) support,n,依存
destination,the place one is traveling to,n,目的地；宛先
diagnose,"to determine the cause of something, e.g. an illness",verb,診断する
diagnosis,a judgment by a doctor about a person’s illness,n pl.,診断
diagram,a drawing intended to explain how something works,n,図
diameter,the distance across the center of an object,n,直径
diary,blank book in which you write what you did each day,n,日記
dictionary,a book with the spellings and meanings of many words,n,辞書
differentiate,to see or show a difference between things,verb,区別する；差別化する
differentiation,a discrimination between things as different and distinct,n,差別化；分化
dilemma,a position in which a person must make difficult choices,n,ジレンマ 
dioxide,an oxide containing two oxides per molecule,n,二酸化
disadvantage,a negative point; a downside; difficulty,n,不利な点
displacement,the act of taking the place of something or someone else,n,移動；置換
dissolve,to melt into a liquid so that a substance mixes with the liquid itself,verb,溶解する
domain,"a field of action, thought or influence; an area of knowledge",n,領域；ドメイン
donor,a person or group that gives gifts or money to help support an organization or cause,n,寄贈者
duration,the length of time that something lasts,n,持続；継続期間
dynamic,always active or changing; in physics: a force related to motion,adj,動的な; 活動的な
ecological,"concerning the environment, plants, or animals",adj,生態学的な
electron,a negatively charged particle,n,電子
elementary,"basic, simple, or essential",adj,初等の
emperor,man who rules an empire,n,皇帝
empirical,based on observation or experiment,adj,実証的な；経験による
entity,something that is real,n,実体
essence,the most important part or quality of something,n,本質
ethical,morally right or wrong,adj,倫理的な
ethics,"the moral principles, standards, and rules for deciding what is right and wrong",n pl.,倫理学；道徳
exit,a door that you go through to leave a place,n,出口；終了
expertise,the special knowledge that an expert has,n,専門知識
fever,a high body temperature,n,熱
fluid,a material that can easily flow. e.g. water,adj,流体（名）、 流動的な（形）
forum,meeting where people can openly discuss a subject,n,フォーラム、講演会、座談会
fossil,a plant or animal that has become rock after many thousands of years,n,化石
fraction,a part of a whole,n,一部；少量；分数
fracture,the result of breaking a hard material; a crack,n,骨折，骨折する；砕く
fringe,the edge of something; such as the decorative edge on a piece of clothing,n,縁；縞（しま）
fusion,"when different styles, ideas or designs combine to form something new; in physics: when atoms combine to produce nuclear energy",n,融合
gauge,a tool used to measure things,n,計測器，測定する
goat,small animal with beard and horns,n,ヤギ
graph,image expressing numerical data in lines or shapes,n,図表；グラフ
grid,a metal structure with bars that is used to cover a hole,n,格子；送電網
gut,"the parts inside: a human body, animal body or a machine",n,腸
habitat,"the natural place, or type of place, where a plant or animal lives",n,生息地
harvest,the time of year to bring crops in from the fields,n,収穫
hierarchy,a system for organizing people or things according to their importance,n,階層；ヒエラルキー
horizon,the line where the earth or sea meets the sky,n,地平線；水平線；視野；層位
horizontal,flat or level,adj,水平の
hormone,a chemical produced by the body to control some function,n,ホルモン
hydrogen,"the lightest of all chemical elements, has no smell or color",n,水素
illusion,"an image that seems real, but is not real",n,幻想
implicit,not stated directly,adj,暗黙の
impulse,a sudden desire to do something that is not planned,n,衝撃
incidence,the rate that something happens,n,発生率
incline,a slope or surface that rises uphill,n,傾く，傾斜
inclusion,act of including; person/thing that is included,n,包含
indifference,a lack of enthusiasm or interest in things; seeming not to care,n,無関心
indigenous,"living or growing naturally in an area, not brought from somewhere else",adj,固有の；土着の
indirect,having a path that is not straight or direct,adj,間接的な
induce,"to cause, to persuade",verb,誘発する
inference,an opinion that you form based on information you already have,n,推論
infinite,without an end,adj,無限の
informal,not official; not done by the rules,adj,非公式の
inhibit,to make it difficult for a process to start or continue in a normal way,verb,抑制する
inhibition,the process whereby nerves can retard or prevent the functioning of an organ; the act of blocking or holding back,n,抑制；阻害
insect,"a small animal with 6 legs, such as a bee or ant",n,昆虫
integral,part of something,adj,不可欠な
interface,a shared boundary between two persons or systems through which information is communicated.,n,接点
interval,"the distance between two points, numbers or times",n,間隔；区間
invade,to enter a place with an aim of taking control of it,verb,侵入する
jazz,a type of American music known for its energetic beat and parts that musicians make up as they go along,n,ジャズ
leaf,the green part of a tree or plant,n,葉
leisure,time when you have no work to do and can relax,n,余暇；レジャー 
lever,a handle that one pulls to operate a machine,n,レバー
likewise,"in the same way, in addition to",adj,同様に
limb,"leg, arm or wing",n,肢
linear,made of lines,adj,線形の
linguistic,belonging to language,adj,言語の
linguistics,the study of human languages,n pl.,言語学
liver,a large organ in the body that helps to absorb food and clean the blood,n,肝臓
loop,a round shape,n,輪
lung,an organ used to breathe,n,肺
magnitude,size or importance,n,大きさ
manuscript,"a document, a piece of writing",n,原稿
marble,a kind of stone; metamorphosed limestone,n,大理石
matrix,"a substance, situation, or environment in which something has its origin - in math: an arrangement of numbers in rows and columns",n,マトリックス；基質
maximize,"to increase, or become as large or great as possible",verb,最大化する
mediate,"to bring about an agreement between persons or groups, act as a helper",verb,仲介する
metaphor,a figure of speech based on analogy,n,隠喩
mineral,a substance naturally formed in the ground,n,鉱物
minimal,the smallest possible,adj,最小の
minimize,to make something as small as possible,verb,最小限にする
momentum,speed or force that is gained when something moves,n,勢い；運動量
monetary,"concerning money, often referring to a country's economic system",adj,金銭的な
monopoly,complete control of the market for a service or product,adv,独占
multiply,to increase greatly in number,verb,掛け合わせる；増殖する
necessity,something that you must have or do,n,必要性; 必需品
noble,having personal qualities that people admire,adj,気高い
nonetheless,"in spite of that, nevertheless",adj,それにもかかわらず
nonlinear,not in a line,adj,非線形の
norm,an established standard of performance or behavior,n,規範；基準
obscure,"not famous, unknown by most people; not easy to understand",adj,あいまいな
optical,concerning vision or helping people see,adj,光学の
organism,"living thing, often one that is small",n,生命体
outlet,"a way for something to be released; a pipe, hole or wire through which gas, liquid or electricity flows",n,アウトレット
overhead,located above your head or in the sky,adj,間接費
overlap,To lie over or cover a part of something else,verb,重複，重なる
oxygen,"a gas in the air that has no smell or taste, and that all animals need to breathe",n,酸素
paradox,"a saying that seems contrary to popular belief, but which may be true",n,逆説；パラドックス
parameter,"a characteristic or constant factor, a limit.",n,パラメーター
particle,a very small piece of something,n,粒子
peripheral,not connected to the main or important part of something,adj,周辺の
physician,a medical doctor,n,医師
physics,"the study of heat, light, and other forms of energy and how they affect objects",n pl.,物理学
plural,refers to more than one person or thing,adj,複数の
polar,concerning the areas near the North or South poles,adj,極の
portfolio,a list of the financial assets held by an individual or other financial institution,n,ポートフォリオ
portray,"to represent something or someone in a particular way, often for artistic purposes",verb,描く
portrayal,"the way that something or someone is represented in a book, film, picture or other context",adj,描写
poster,"a large, printed notice or picture",n,ポスター
predator,an animal that feeds itself by killing and eating other animals,n,捕食者
predominantly,"in a way that is larger, greater or has more power than others",adv,圧倒的に
prejudice,"an unreasonable hatred for a group of people, usually a race or a religion",n,偏見
preliminary,before,adj,予備の
prevalence,"widespread, common, general",n,流行
prey,an animal that is killed and eaten by another animal,n,捕食
primitive,being of an early time period in the past,adj,原始的な
proposition,an idea; a suggestion,n,提案；命題
protocol,a set of rules; computers use protocol so they can exchange information,n,外交儀礼；議定書；協定
pulse,beat of the heart,n,脈拍
questionnaire,form used to get information from many people,n,アンケート
rack,"a frame, stand or hook on which things are set or hung",n,棚
realm,the area ruled by a king or queen,n,領域
regression,going back; in statistics: a type of correlational procedure that focuses on predicting the values of an outcome based on its correlation with another variable.,n,退行
rehabilitation,"a scheme to help someone who has been ill or in prison to return to a healthy, independent, and useful life",n,修復；リハビリ
residual,"concerning the last little bit, after the rest has gone or ended",adj,残りの，残余
residue,left over after part or most is taken away,n,剰余；残留物
retrieve,to find and get something from somewhere,verb,取り戻す；検索する
rhetoric,the study of public speaking or writing techniques,n,言葉遣い；修辞学
robot,a mechanical creature that acts like a human,n,ロボット
rotate,to move or turn around a central point,verb,回転する
rotation,movement in a circle around a central point,n,回転
scenario,an outline; an imagined sequence of events in a plan or project,n,シナリオ
scholarship,money given to a student to pay for education,n,奨学金
seminar,a small class at a college or university,n,セミナー
sensation,"a feeling that is experienced by the body, usually through the sense of touch",n,感覚
shallow,not deep; a small distance between the lowest and highest point,adj,浅い
simulate,"to look, feel, or behave like something; to copy",verb,ふりをする；シミュレーションをする
simulation,a copy; a method that is used to study and analyze the characteristics of the real world,n,シミュレーション
sketch,a drawing made quickly that lacks detail,n,スケッチ
skip,to not do; to jump,verb,スキップ，飛ばす
slot,"a long narrow opening, into which you put or fit something",n,細長い穴；地位；時間枠
sodium,"a soft, white chemical element",n,ナトリウム
span,the amount of time something lasts,verb,期間，架かる；及ぶ
spatial,about space,adj,空間的な
specimen,"an example of something, especially of a plant or an animal; a small amount of blood or urine",n pl.,見本；標本
spectrum,the wavelengths of colors from red to violet,n,スペクトル
sphere,a round 3D object. e.g. a ball,n,球体；天体
spontaneous,"something that happens on its own, seemingly without cause",adj,自発的な
stack,To put one thing on top of another e.g. books,verb,山，積み上げる
stadium,very large building with a sports field and rows of seats all around that is used for various events,n,スタジアム
stance,a position or opinion that is stated to the public,n,姿勢
stereotype,"an idea or belief about what someone or something is like, often unfair or untrue",n,固定観念，固定観念で見る
stimulus,something that makes a change.,n pl.,刺激
straightforward,easy to do or understand; not complicated,adj,まっすぐな；率直な；正直な
strand,something that is plaited or twisted as a rope-like length,n,糸
stripe,"a long, thin part of something which is a different color from the parts beside it",n,縞模様
subjective,"the use of personal feelings and opinions, rather than facts",adj,主観的な
surgeon,a doctor who performs surgery,n,外科医
surplus,extra; more than is needed,adj,余剰；黒字
syndrome,a group of signs and symptoms that accompany a disease,n,症候群
synthesis,building something complex from simple parts,n pl.,合成
terminal,the end of something,n,終点；終着駅；ターミナル
thesis,a long essay; a position taken in an argument supported by a set of reasons,n,論文；命題
thread,"a long, very thin, soft material used to join or make cloth",n,糸
threshold,a level or point at which something would start or stop happening.,n,しきい値
thumb,"the short, thick finger on the side of your hand",n,親指
toxic,poisonous; harmful,adj,毒性の
trait,a characteristic,n,特徴
transcription,something written,n,転写
transplant,a medical operation in which a new organ is placed inside a patient's body,n,移植，移植する
trauma,a very severe or upsetting experience,n,外傷；トラウマ
triangle,a closed shape with three straight sides,n,三角形
tropical,hot and humid; near to the equator,adj,熱帯の
tumor,a mass of abnormal cells that develops when cancerous cells divide and grow uncontrollably,n,腫瘍
tutor,a teacher,n,家庭教師
undermine,to weaken or destroy something secretly and usually slowly,verb,弱体化させる
unify,to join or bring together,verb,統一する
upward,moving toward a higher point or position,adv,上向きに
utilize,to use something practically for a particular purpose,verb,利用する
utterance,something that is said,n,発話
vein,one of the little tubes that return blood from the body to the heart,n,静脈
verbal,"using speech, rather than being written",adj,言葉による
vertical,a line going up/down; not horizontal,adj,垂直の
viable,able to be done; possible,adj,実行可能な
vitamin,a substance that is healthy for your body and can be found in foods or taken as a medicine,n,ビタミン
abdominal,Concerned with the abdomen or stomach,adj,腹部の
aggregate,a sum total amount of something,n,(...の)総計
algorithm,a step-by-step problem-solving feature,n,アルゴリズム
altitude,the height of something above sea level,n,高度
analogy,comparison of things based on their similarity,n,類似；類推
antibiotic,concerning medicine that is used to fight certain diseases,adj,抗生物質，抗生物質の
antibody,a defense provided by the body against disease,n,抗体
appendix,additional information at the end of a document,n,付録；追加
applause,the sound made by clapping a performance or speech,n,拍手
arbitrary,unsupported,adj,任意の; 気ままな
axis,"a line about which a rotating body, such as the earth, turns.",n,軸
bracket,a 90 degree piece of metal used to support a wall shelf,n,括弧
coefficient,a number multiplied by a variable in an algebraic expression.,adj,係数
composite,made of more than one different part,adj,合成物，複合の
cone,a 3D shape with a circular base; a part of the eye,n,円錐
converge,to come together,verb,集中する
convergence,coming together,n,収束
cue,a word or action during a stage play to tell an actor to speak,n,合図，合図を送る
cylinder,"a shape or object with flat, circular ends and long, straight sides",n,シリンダー
degrade,to treat someone without respect; to reduce in amount or strength,verb,低下する；分解する
delta,the place a river divides before entering a larger body of water,n,デルタ
deviation,"not standard or normal; in statistics: the difference between one of a set of values and some fixed value, usually the mean of the set.",n,逸脱；偏差
diagnostic,to do with finding out the cause of a problem,adj,診断の
differential,difference; diversity,adj,区別を示す
diffusion,the movement of light in many directions,n,拡散
dilute,"to mix; to reduce in strength, concentration, quality or purity",verb,希薄な，薄くする
dominance,"the state of being more powerful, successful, or important than others",n,支配
dye,a liquid that colors hair or cloth,n,染料，染める
ecology,"the study of plants, animals, people, and their environments",n,生態学
elastic,able to return to original shape or size after stretching,adj,弾性の
elasticity,the ability to stretch easily and then quickly return to the original shape,n,弾力性
embed,"to place or set inside rock, etc",verb,埋め込む
enzyme,a protein made by cells,n,酵素
epidemic,a disease affecting many people,adj,流行性の、伝染病
equilibrium,a state of balance,n,平衡
erase,to remove written information or information on a computer memory,verb,消す
fatigue,being very tired,n,疲労
fungus,"a group of plants that grow on dead materials and have no flowers, e.g. mushrooms",n pl.,菌
gram,a metric unit of weight,n,グラム
hawk,a large bird that gets its food by killing smaller birds and animals,n,タカ
incumbent,a person who holds a particular office or position,n,現職
inferior,not as good as something else,adj,劣る，目下の者
intermediate,between,adj,中級の；中間の
ion,a charged atom,n,イオン
kidney,an organ in the body that cleans the blood,n,腎臓
lateral,on the side; moving sideways,adj,横の，側面
mall,a large shopping center with many individual stores,n,モール
maternal,having to do with being a mother,adj,母性の
membrane,a thin covering of tissue.,n,膜
messenger,someone who delivers a messages,n,使者；メッセンジャー
motif,"a distinctive form, shape or figure in a design",n,モチーフ
multinational,involving many countries,adj,多国籍の，多国籍企業
mutation,a change; in genetics: any event that changes genetic structure,n,突然変異
niche,"a small area; a specialised business, job or activity",n,ニッチ
nitrogen,a colorless chemical element without a smell that forms most of the earth's atmosphere,n,窒素
node,an intersection or junction point in a network; a part on a plant where a new leaf grows,n,こぶ；結節
nominal,in name or thought but not reality,adj,名ばかりの
nucleus,control center of a cell,n pl.,核
numerical,includes numbers,adj,数値
nutrient,"a chemical, food, that animals and plants need to live, develop, and be healthy",n,栄養素
offspring,the child of a person or the young of a plant or animal,n,子孫
onset,the beginning,n,開始
optimal,best,adj,最適な
orient,to focus your attention or efforts on something,verb,適応させる；正しい方向に置く
overview,a description of the main features of something,n,概観
par,the usual amount,n,等価；平均；額面価格
paradigm,a set of ideas that are used for understanding or explaining something,n,パラダイム
parcel,"a package or box wrapped in paper, a thing bigger than a letter that is sent in the mail",n,小包
pest,an unwanted insect or small animal that eats plants or food supplies,n,害虫
pesticide,a chemical substance used to kill pests,n,農薬
plantation,"a large area of plants, usually in a hot climate",n,農園
plausible,being reasonable and possibly true,adj,もっともらしい
pragmatic,"dealing with problems in a reasonable, practical manner",adj,実用的な
precipitate,to cause to happen,verb,沈殿物
precipitation,"rain, snow or hail",n,降水量
qualitative,"concerning how good something is, rather than quantity",adj,質的な
quantum,the smallest unit or amount of energy,n,量子
radar,a device that sends out radio waves for finding out the position of another object,n,レーダー
replicate,"to repeat something, such as an experiment, study or process",verb,複製する
replication,the act of making copies,n,レプリケーション
reservoir,"a lake, usually artificial, where water is collected and stored for the use of a community or industry",n,貯水池
scripture,the holy books of a particular religion,n,聖書
sediment,the material that settles to the bottom of a liquid,n,堆積物
semantic,the different meanings of words,adj,意味の
shuttle,a vehicle that carries passengers or items between two places,n,シャトル，往復する
singular,one,adj,単数の；並外れた
slab,"a thick, flat slice of something",n,厚板；厚切り
slash,to cut violently,n,サッと切る；大幅に削減する，切り傷；削減；スラッシュ
sniff,to smell by short intakes of air.,verb,匂いを嗅ぐ
socialize,to teach people to behave in a way which is acceptable in their culture; to spend time with people,verb,社交化
static,being unchangeable or unmovable,adj,静的な
surgical,concerning surgery,adj,外科の
susceptible,at risk of developing a certain illness or problem,adj,影響を受けやすい
swap,to trade or exchange,verb,交換する
synthetic,not natural; made from artificial materials,adj,合成的な
temporal,concerning time,adj,一時的な
thermal,with reference to some source of heat,adj,熱の
tolerance,"a willingness to let people do, say or believe what they wish, without judging or challenging them",n,耐性
tract,a large stretch of land,n,器官系；土地
trivial,unimportant,adj,ささいな
turbulent,moving violently and unevenly,adj,乱流
undergraduate,a college student who is working toward his or her first degree,n,学部生
unintelligible,that cannot be understood,adj,理解できない
urine,yellow liquid waste from the body,n,尿
usage,the way something is used,n,使用
valve,"a device along a pipe that can either open and allow something to flow, or close and block it",n,弁；バルブ
vegetation,plants,n,植生
velocity,speed in a given direction,n,速度
vocabulary,the words that a person knows,n,語彙
wheat,a kind of grain that is used to make flour for bread,n,小麦
whereby,by which; by that thing,adv,それによって～する
antiquity,an ancient period; something made a long time ago,n,古代；古代に作られたもの
binary,"having two parts; using only 2 numbers, 1 and 0",adj,２つの；２進法の
chess,"a game of strategy, for two players",n,チェス
chromosome,cell structures that carry the genetic material that is copied and passed to the next generation.,n,染色体
contour,the shape of the outside edge of something,n,輪郭
coronary,concerning the heart,adj,冠状動脈
corpus,a body; in linguistics: a body of words,n pl.,集成；コーパス；体
deceive,to make someone believe something that is not true,verb,欺く
deflection,the action of making something move in a different direction,n,たわみ
denote,be a name or symbol for,verb,示す
dialect,a way of speaking a language that is used only in a particular area or by a particular group,n,方言
discrete,separate; composed of distinct parts,adj,別々の
encode,to change a message or information into code,verb,暗号化する
epidemiology,the science of how diseases spread,n,疫学
facet,a part of something,n,宝石などの小面
fin,"the flat, thin body parts of a fish that sticks out and helps guide it through water",n,魚のひれ
finite,having limits; lasting for a limited time,adj,有限の
flux,a state of flow and change,n,流れ
friction,the act of sliding two objects against each other,n,摩擦
hepatitis,"a disease of the liver that causes inflammation, yellow skin and a fever",n,肝炎
induction,"bringing about, or causing",n,誘導
invert,to turn something upside down,verb,反転する
irrigation,supplying land with water using pipes,n,かんがい
liter,metric unit for measuring liquid or gas,n,リットル
locus,a place or location; in genetics: the location of a gene on a chromosome,n,軌跡
mentor,an experienced or wise person who teaches or helps another person,n,メンター
mercury,"a heavy, silver-white metal that is used in thermometers to measure temperature; a planet",n,水銀
metabolism,the chemical processes of the body in which food is converted to energy,n,代謝
mole,a small animal with dark fur that lives under the ground; a unit for measuring molecules,n,ほくろ
neuron,a nerve cell; the basic building block of the nervous system.,n,ニューロン
notation,a set of written signs or shapes that are used in music or mathematics,n,表記法
novice,"a person with little or no experience in a particular activity, skill, or subject",n,初心者
onwards,forward,adv,前方へ
oscillation,"movement, from side to side at a steady speed; a frequent change in size, strength, or direction between two limits",n,振動
partition,"a wall, screen, or piece of glass used to separate one area from another",n,分割
physiological,concerning how the body functions,adj,生理学的な
quiz,a game in which players answer questions on a specific topic,n,小テスト，小テストをする
radius,a given area or a range around a certain point; a line from the center of a circle to its edge,n,半径
receptor,a device that receives information; in physiology: a nerve ending that changes stimuli into impulses,n,受容体
repertoire,a collection of skills or accomplishments.,n,レパートリー
respiratory,to do with breathing,adj,呼吸器の
scroll,a long rolled piece of paper with writing on it; to move up and down a computer screen,n,スクロール
secrete,to produce a liquid,verb,隠す；分泌する
sensory,"referring to the five senses (hearing, sight, smell, taste and touch)",adj,感覚の
solvent,something that dissolves or can melt another substance,n,溶剤
sperm,male sex cell,n,精子
syllable,a unit of speech,n,音節
terminology,specific words and expressions used in a particular field,n,用語
transcribe,to write something spoken,verb,～を書き写す
vector,a quantity that has both size and direction.,n,ベクトル
yeast,a single-celled fungi used to make bread and beer,n,イースト
amino,a substance that combines to form the structure of proteins,n,アミノ酸
artifact,"object made by humans, e.g. ancient tool",n,工芸品；人工遺物
bilingual,being able to speak two languages well,adj,バイリンガル
chemotherapy,"the treatment of diseases, such as cancer, using chemicals",n,化学療法
confound,"to confuse and greatly surprise someone, so that they are unable to explain a situation",verb,情況などを混乱させる
dissection,the act or process of cutting something,n,切開
dissertation,an in-depth paper submitted for a doctorate degree,n,論文
entrant,a person who enters a contest,n,参加者
fetal,"concerning a fetus, an unborn baby",adj,胎児
gradient,a measure of how steep something is,n,勾配
grammatical,concerning grammatical rules,adj,文法の
infinity,with out end; limitless,n,無限
innate,present in a person or animal from the time of birth,adj,生まれつきの
longitudinal,going from the top to the bottom of something,adj,縦方向の
marrow,"a soft, fatty tissue inside bones",n,骨髄
millimeter,1/1000th of a meter,n,ミリリットル
morphological,the study of form and structure,adj,形態素
morphology,"the study of the forms and structures of plants, animals and words",n,形態
neural,about the nerves or nervous system,adj,神経の
null,having no impact,adj,無効の
optimum,the best or most desirable,adj,最適な
phenomenal,"unusual, remarkable",adj,驚異的な
phosphate,a salt or compound used to help grown plants,n,リン酸塩
potassium,"a common, soft, silvery white metal that is usually used for farming or industrial purposes",n,カリウム
primer,a book that covers the basics of a subject; a kind of paint,n,入門書
proton,a very small part of an atom that has a positive electrical charge,n,陽子
soluble,"can be mixed with a liquid, e.g. salt is soluble in water",adj,水溶性
substrate,a substance which a catalyst or enzyme has an effect on,verb,基板
subtract,"to take away, e.g. 20 - 5 = 15",verb,減算する
syllabus,the teaching schedule for a course in a school or university,n,概要
trajectory,the path followed by an object moving through space,n,弾道
transparency,the amount you can see through something,n,透明
vowel,"a speech sound; a, e , i, o, u and sometimes y",n,母音
watershed,"a period of time during which important, significant changes take place",verb,流域
algebra,mathematics using letters and symbols in place of some numbers,n,代数学
amplitude,"the breadth, width or largeness of something",n,振幅
biodiversity,"the variation in an environment, the number of different types of life found there",n,生物多様性
chloride,a chemical compound that is a mixture of chlorine and something else,n,塩化物
circa,an approximate time period,n,約（年号に使われる）
consonant,a speech sound; any letter in the alphabet that is not a vowel.,adj,一致した
cortex,the outer part of an organ or structure,n,皮質
inversion,a change in position of things so they become the opposite,n,反転
lexical,about words,adj,語彙の
multi,a prefix meaning 'more than one',prefix,多数の
phonological,concerning sound,adj,音韻的な
postgraduate,graduate studying for a further degree,n,大学院生
sneeze,to loudly blow air out of your nose or mouth in a sudden uncontrolled way,verb,くしゃみをする
syntactic,grammatical,adj,構文
syntax,"the study of a system, such as the system of words in a sentence",n,構文
theorem,a statement that can be proved,n,定理
aerosol,a container that sprays liquid under pressure,n,エアロゾル
axiom,a statement that is accepted as true,n,公理
calculus,a type of mathematics used for calculating such things as the slopes of curves,n,結石、微積分（数学）
capillary,very small blood vessels,n,毛細血管
comma,mark showing a pause or list in a sentence,n,コンマ
congruent,having the same shape and size,adj,合同の
denominator,the bottom number in a fraction,n,分母
equivalence,when something is equal to something else,n,同価値
exponential,a constant e raised to a power equal to a given expression: e.g. e3x is the exponential of 3x.,adj,指数の
helix,a 3D spiral shape,n,螺旋
herbicide,a poison that kills weeds,n,除草剤
semi,a prefix meaning 'half',prefix,半；準
splice,act of connecting two pieces of rope or wire into one,n,接合
connotation,an association; an implication,n,含蓄
descriptor,a label; something that describes,n,記述語；記述子
oxidize,to convert (an element) into an oxide; combine with oxygen - to rust,verb,酸化
parenthesis,"one of two symbols ( and ), used in writing",n,括弧
semester,half a year in school or college,n,学期
trans,"a prefix meaning 'across', 'through' or 'changing thoroughly'",prefix,トランス
volition,the act of making a conscious choice,n,意志選択行為
factorial,concerning factors or factorials,adj,要因の；階乗の
solute,"a substance that has dissolved in a solvent and become part of the liquid, so that they form a solution",adj,溶質
mid,at (or near) the middle point,adj,中央の
airplane,a machine that flies through the air,n,飛行機
artwork,photographs or pictures in a printed publication,n,作品
breakdown,when normal activity or behaviour stops,n,故障；破壊
classroom,room in a school where lessons take place,n,教室
feedback,a response to a message; information about a person's behavior,n,フィードバック
footnote,extra information at the bottom of a page,n,脚注
halfway,a middle point between two extremes,adv,中間で；途中で
handout,"a piece of paper with information, often given out before a presentation",n,配布資料
homework,work that a student is given to do at home,n,宿題
layout,"plan or design of something, e.g. of book page",n,レイアウト；設計
lifestyle,the type of life that you have,n,ライフスタイル；生活様式
lifetime,the time between birth and death,n,生涯
pathway,a path or way that you can walk,n,経路
rainfall,water falling from the sky,n,降雨
textbook,a book that is used to study,n,教科書
uplift,to make someone feel happier or more hopeful,n,元気付ける
wavelength,the size of a wave; a shared understanding,n,波長
widespread,happening or existing in many places; affecting many people,adj,広く行き渡っている
workshop,a brief intensive course for a small group; emphasizes problem solving,n,作業場；研修会
anti,a prefix meaning 'against' or 'opposed',prefix,アンチ
ex,"a prefix meaning ""out of,"" ""from,"" or ""not""",prefix,元
micro,"a prefix meaning 'very small', such as microchip",n,マイクロ
neo,a prefix meaning 'recent' or 'new',n,ネオ
non,a prefix meaning 'not',prefix,～でない
pi,the ratio of the circumference to the diameter of a circle; approximately equal to 3.14,n,パイ
pole,"a long, narrow piece of metal or wood, that is used to hold or support something",n,極
pre,a prefix meaning 'before',prefix,前
sub,a prefix meaning 'under' or 'instead of',prefix,サブ
super,of the highest quality; great; marvelous,adj,超；最高の
headquarter,the main office of a company or organisation,n,本社
identical,the same in every way,adj,同一の
DESCENDENT,,undefined,子孫
