Word,TSL Rank,SFI,U
mister,1,71.28,1342.2
vacation,2,65.56,359.64
client,3,65.26,335.37
e-book,4,65.03,318.45
airport,5,65.02,317.72
memo,6,64.07,255.2
reservation,7,63.98,250.05
logical,8,63.89,244.91
fax,9,63.78,239.02
o'clock,10,63.51,224.31
sincerely,11,62.82,191.22
sometime,12,62.43,175.04
supervisor,13,62.41,174.3
refund,14,62.3,169.89
goods,15,62.13,163.27
workshop,16,62.07,161.06
downtown,17,61.95,156.65
deadline,18,61.91,155.18
invoice,19,61.85,152.97
brochure,20,61.68,147.09
noon,21,61.65,146.36
accountant,22,61.57,143.41
clerk,23,61.5,141.21
lobby,24,61.5,141.21
publish,25,61.45,139.74
résumé,26,57.53,56.63
enclose,27,61.36,136.79
applicant,28,61.27,133.85
seminar,29,61.27,133.85
technician,30,61.1,128.7
cloth,31,60.79,119.88
fare,32,60.65,116.2
receipt,33,60.71,117.67
traveler,34,60.62,115.47
caller,35,60.6,114.73
subway,36,60.6,114.73
luggage,37,60.51,112.52
shipment,38,60.37,108.85
infer,39,60.28,106.64
waiter,40,60.28,106.64
rental,41,60.25,105.91
warranty,42,60.19,104.43
cafeteria,43,60.16,103.7
chef,44,60,100.02
elevator,45,59.84,96.34
reception,46,59.84,96.34
correctly,47,#N/A,#N/A
lease,48,59.63,91.93
bicycle,49,59.6,91.2
notify,50,59.6,91.2
preview,51,59.6,91.2
attendant,52,59.56,90.46
subscription,53,59.56,90.46
convenient,54,59.49,88.99
manual,55,59.46,88.25
clue,56,59.38,86.78
garage,57,59.42,87.52
obtain,58,59.38,86.78
oval,59,59.38,86.78
inventory,60,59.27,84.58
outdoor,61,59.27,84.58
suitcase,62,59.27,84.58
destination,63,59.23,83.84
occupation,64,59.23,83.84
postpone,65,59.23,83.84
contradict,66,59.16,82.37
umbrella,67,59.12,81.64
inference,68,58.96,78.69
cellphone,69,58.92,77.96
compact,70,58.67,73.55
merchandise,71,58.67,73.55
receptionist,72,58.62,72.81
dentist,73,58.58,72.07
identification,74,58.58,72.07
coupon,75,58.53,71.34
depart,76,58.53,71.34
reschedule,77,58.53,71.34
tactic,78,58.49,70.6
renovation,79,58.44,69.87
upgrade,80,58.4,69.13
precede,81,58.35,68.4
replacement,82,58.44,69.87
dine,83,58.3,67.66
passport,84,58.3,67.66
coworker,85,58.21,66.19
upcoming,86,58.21,66.19
cabinet,87,58.16,65.46
appliance,88,58.11,64.72
explanatory,89,58.11,64.72
instructor,90,58.06,63.98
keyboard,91,58.11,64.72
media,92,58.06,63.98
supermarket,93,58.06,63.98
valid,94,58.11,64.72
admission,95,58.01,63.25
laptop,96,58.01,63.25
underline,97,58.01,63.25
electrical,98,57.96,62.51
airplane,99,57.91,61.78
assignment,100,57.91,61.78
exit,101,57.91,61.78
attendee,102,57.86,61.04
cruise,103,57.8,60.31
birthday,104,#N/A,#N/A
café,105,57.8,60.31
comprehension,106,57.75,59.57
mall,107,57.75,59.57
medication,108,57.75,59.57
recycle,109,57.75,59.57
renew,110,57.75,59.57
tenant,111,57.75,59.57
sandwich,112,57.7,58.84
departure,113,57.64,58.1
mini,114,57.64,58.1
fitness,115,57.59,57.37
inconvenience,116,57.59,57.37
banquet,117,57.53,56.63
closet,118,57.53,56.63
unreal,119,57.53,56.63
distractor,120,57.47,55.89
expire,121,57.47,55.89
folder,122,57.53,56.63
photocopy,123,57.47,55.89
renovate,124,57.47,55.89
sunny,125,57.47,55.89
calendar,126,57.42,55.16
donation,127,57.42,55.16
feedback,128,57.42,55.16
shortly,129,57.42,55.16
snack,130,57.42,55.16
warehouse,131,57.42,55.16
copier,132,57.36,54.42
provider,133,57.36,54.42
beverage,134,57.3,53.69
hungry,135,57.24,52.95
inspection,136,57.24,52.95
recipient,137,57.24,52.95
aisle,138,57.18,52.22
inspect,139,57.18,52.22
mechanic,140,57.18,52.22
merger,141,57.24,52.95
soccer,142,57.18,52.22
sweater,143,57.12,51.48
ingredient,144,57.12,51.48
rewrite,145,57.12,51.48
itinerary,146,57.05,50.75
workplace,147,57.05,50.75
architect,148,56.99,50.01
convenience,149,56.99,50.01
eligible,150,56.99,50.01
indoor,151,56.99,50.01
baggage,152,56.93,49.28
dial,153,56.93,49.28
container,154,56.86,48.54
drawer,155,56.86,48.54
lab,156,56.86,48.54
submission,157,56.86,48.54
bulletin,158,56.79,47.8
certificate,159,56.79,47.8
gym,160,56.99,50.01
highway,161,56.79,47.8
respondent,162,56.79,47.8
jewelry,163,56.73,47.07
overtime,164,56.73,47.07
battery,165,56.66,46.33
donate,166,56.66,46.33
outstanding,167,56.66,46.33
skim,168,56.66,46.33
briefcase,169,56.59,45.6
dessert,170,56.59,45.6
impact,171,56.59,45.6
innovative,172,56.59,45.6
inquire,173,56.59,45.6
overnight,174,56.59,45.6
venue,175,56.59,45.6
commuter,176,56.59,45.6
logo,177,56.52,44.86
newsletter,178,56.52,44.86
advisor,179,56.45,44.13
cartridge,180,56.45,44.13
cloudy,181,56.45,44.13
photographer,182,56.45,44.13
shopper,183,56.45,44.13
tag,184,56.45,44.13
announcer,185,56.37,43.39
aspect,186,56.37,43.39
audit,187,56.37,43.39
contractor,188,56.37,43.39
download,189,56.37,43.39
password,190,56.37,43.39
prohibit,191,56.37,43.39
stadium,192,56.37,43.39
terminal,193,56.37,43.39
weekday,194,56.37,43.39
bonus,195,56.3,42.66
cart,196,56.3,42.66
delicious,197,56.3,42.66
ink,198,56.3,42.66
supervise,199,56.3,42.66
waitress,200,56.37,43.39
cleaner,201,56.22,41.92
developer,202,56.22,41.92
headquarter,203,56.22,41.92
shuttle,204,56.22,41.92
stationery,205,56.22,41.92
subscribe,206,56.22,41.92
alike,207,56.15,41.19
flavor,208,56.15,41.19
picnic,209,56.15,41.19
recipe,210,56.15,41.19
refreshment,211,56.15,41.19
administrative,212,55.48,35.3
authorize,213,56.07,40.45
commonly,214,56.07,40.45
distribution,215,56.07,40.45
sofa,216,56.07,40.45
accommodate,217,55.99,39.71
affordable,218,55.99,39.71
annoy,219,55.99,39.71
commute,220,56.07,40.45
coordinate,221,56.07,40.45
paperwork,222,55.99,39.71
quit,223,55.99,39.71
authority,224,55.91,38.98
flu,225,55.91,38.98
captain,226,55.83,38.24
installation,227,55.83,38.24
trainer,228,55.83,38.24
availability,229,55.74,37.51
bargain,230,55.74,37.51
complimentary,231,55.74,37.51
hike,232,55.74,37.51
midnight,233,55.74,37.51
productivity,234,55.74,37.51
rainy,235,55.74,37.51
relocate,236,55.74,37.51
trainee,237,55.74,37.51
transaction,238,55.74,37.51
unhappy,239,55.74,37.51
verify,240,55.74,37.51
automobile,241,55.66,36.77
courier,242,55.66,36.77
incomplete,243,55.66,36.77
questionnaire,244,55.66,36.77
baseball,245,55.57,36.04
dock,246,55.57,36.04
lamp,247,55.57,36.04
lately,248,55.57,36.04
machinery,249,55.57,36.04
presenter,250,55.57,36.04
seldom,251,55.57,36.04
signature,252,55.57,36.04
worldwide,253,55.66,36.77
carrier,254,55.48,35.3
designate,255,55.48,35.3
exclusive,256,55.48,35.3
grocery,257,55.48,35.3
homework,258,55.48,35.3
memorandum,259,55.48,35.3
photocopier,260,55.48,35.3
suite,261,55.48,35.3
thorough,262,55.57,36.04
bookstore,263,55.48,35.3
cater,264,55.48,35.3
dental,265,55.39,34.57
duration,266,55.39,34.57
lounge,267,55.39,34.57
painter,268,55.39,34.57
patron,269,55.39,34.57
prescription,270,55.39,34.57
productive,271,55.39,34.57
salad,272,55.39,34.57
stack,273,55.39,34.57
delegate,274,55.29,33.83
salesperson,275,55.29,33.83
calculator,276,55.2,33.1
completion,277,55.2,33.1
defect,278,55.2,33.1
garbage,279,55.2,33.1
omit,280,55.2,33.1
spite,281,55.2,33.1
bathroom,282,55.1,32.36
cab,283,55.1,32.36
correspondence,284,55.1,32.36
ladder,285,55.1,32.36
photography,286,55.1,32.36
sculpture,287,55.1,32.36
anniversary,288,55,31.62
buffet,289,55.1,32.36
defective,290,55,31.62
ice cream,291,55,31.62
leak,292,55,31.62
occupancy,293,55,31.62
proficiency,294,55,31.62
renewal,295,55,31.62
urgent,296,55,31.62
annually,297,54.9,30.89
basketball,298,55,31.62
delete,299,54.9,30.89
illogical,300,54.9,30.89
pet,301,54.9,30.89
textbook,302,#N/A,#N/A
accurately,303,54.79,30.15
cabin,304,54.9,30.89
conductor,305,54.79,30.15
inspector,306,54.79,30.15
intern,307,54.79,30.15
semester,308,#N/A,#N/A
confirmation,309,54.69,29.42
congratulation,310,54.69,29.42
expertise,311,54.69,29.42
graph,312,54.69,29.42
taker,313,54.69,29.42
utility,314,54.69,29.42
voucher,315,54.69,29.42
banker,316,54.58,28.68
behalf,317,54.58,28.68
minimize,318,54.58,28.68
optional,319,54.58,28.68
paycheck,320,54.58,28.68
polite,321,54.58,28.68
protective,322,54.58,28.68
seller,323,54.58,28.68
sidewalk,324,54.58,28.68
sightsee,325,54.58,28.68
soup,326,54.58,28.68
transit,327,54.58,28.68
wallet,328,54.58,28.68
cashier,329,54.46,27.95
casual,330,54.46,27.95
drill,331,54.46,27.95
fountain,332,54.46,27.95
juice,333,54.46,27.95
lane,334,54.46,27.95
popularity,335,54.46,27.95
poster,336,54.46,27.95
promptly,337,54.46,27.95
retailer,338,54.46,27.95
vacancy,339,54.46,27.95
bench,340,54.35,27.21
cumulative,341,54.35,27.21
directory,342,54.35,27.21
disposal,343,54.35,27.21
housekeeper,344,54.35,27.21
internship,345,54.35,27.21
knowledgeable,346,54.35,27.21
organizer,347,54.35,27.21
overdue,348,54.35,27.21
prediction,349,54.35,27.21
subscriber,350,54.35,27.21
booklet,351,54.23,26.48
conditioner,352,54.23,26.48
enroll,353,54.23,26.48
frustrate,354,54.23,26.48
garment,355,54.23,26.48
orientation,356,54.23,26.48
outlet,357,54.23,26.48
packet,358,54.23,26.48
plumber,359,54.23,26.48
specification,360,54.23,26.48
auto,361,54.11,25.74
decorate,362,54.11,25.74
deduction,363,54.11,25.74
definite,364,54.11,25.74
economical,365,54.11,25.74
efficiently,366,54.11,25.74
flyer,367,54.11,25.74
franchise,368,54.11,25.74
generous,369,54.11,25.74
interrupt,370,54.11,25.74
oven,371,54.11,25.74
pant,372,54.11,25.74
profitable,373,54.11,25.74
refrigerator,374,54.11,25.74
reimburse,375,54.11,25.74
showroom,376,54.11,25.74
vegetarian,377,54.11,25.74
administrator,378,53.98,25.01
broker,379,53.98,25.01
cancellation,380,53.98,25.01
confidential,381,53.98,25.01
jet,382,53.98,25.01
realistic,383,53.98,25.01
thoroughly,384,53.98,25.01
trash,385,53.98,25.01
usage,386,53.98,25.01
windy,387,53.98,25.01
automate,388,53.85,24.27
ferry,389,53.85,24.27
finalize,390,53.85,24.27
incur,391,53.85,24.27
instruct,392,53.85,24.27
loyal,393,53.85,24.27
luncheon,394,53.85,24.27
microphone,395,53.85,24.27
overview,396,53.85,24.27
projector,397,53.85,24.27
shortage,398,53.85,24.27
spacious,399,53.85,24.27
accomplishment,400,53.72,23.53
accustom,401,53.72,23.53
clinic,402,53.72,23.53
desktop,403,53.72,23.53
jog,404,53.72,23.53
leisure,405,53.85,24.27
nap,406,53.72,23.53
reinforce,407,53.72,23.53
sender,408,53.72,23.53
vacuum,409,53.72,23.53
wireless,410,53.72,23.53
yearly,411,53.72,23.53
appreciation,412,53.58,22.8
cargo,413,53.58,22.8
cooperate,414,53.58,22.8
distract,415,53.58,22.8
dividend,416,53.58,22.8
exemption,417,53.58,22.8
furnish,418,53.58,22.8
hourly,419,53.58,22.8
laundry,420,53.58,22.8
mandatory,421,53.58,22.8
mechanical,422,53.58,22.8
pharmacy,423,53.58,22.8
promotional,424,53.58,22.8
quarterly,425,53.58,22.8
residential,426,53.72,23.53
scholarship,427,53.58,22.8
seeker,428,53.58,22.8
temporarily,429,53.58,22.8
towel,430,53.58,22.8
unattended,431,53.58,22.8
accessible,432,53.44,22.06
afterward,433,53.44,22.06
apology,434,53.44,22.06
assemble,435,53.44,22.06
automatic,436,53.44,22.06
boardroom,437,53.44,22.06
carpenter,438,53.44,22.06
caterer,439,53.44,22.06
classify,440,53.44,22.06
consultation,441,53.58,22.8
durable,442,53.44,22.06
glove,443,53.44,22.06
hardware,444,53.44,22.06
malfunction,445,53.44,22.06
outdated,446,53.44,22.06
patience,447,53.44,22.06
postcard,448,53.44,22.06
prospective,449,53.44,22.06
revision,450,53.44,22.06
strictly,451,53.44,22.06
tomato,452,53.44,22.06
tray,453,53.44,22.06
vendor,454,53.44,22.06
withdrawal,455,53.44,22.06
anytime,456,53.29,21.33
badge,457,53.29,21.33
brake,458,53.29,21.33
calculation,459,53.29,21.33
coordinator,460,53.29,21.33
costly,461,53.29,21.33
equip,462,53.29,21.33
excursion,463,53.29,21.33
graphic,464,53.29,21.33
inexperience,465,53.44,22.06
lengthy,466,53.29,21.33
librarian,467,53.29,21.33
meantime,468,53.29,21.33
merge,469,53.29,21.33
performer,470,53.29,21.33
pharmacist,471,53.29,21.33
pizza,472,53.29,21.33
resignation,473,53.29,21.33
reviewer,474,53.29,21.33
terminate,475,53.29,21.33
translation,476,53.29,21.33
unfamiliar,477,53.29,21.33
actress,478,53.14,20.59
adjacent,479,53.14,20.59
alternate,480,53.14,20.59
congratulate,481,53.14,20.59
escort,482,53.14,20.59
inexpensive,483,53.14,20.59
mask,484,53.14,20.59
purchaser,485,53.14,20.59
purse,486,53.14,20.59
realtor,487,53.14,20.59
rearrange,488,53.14,20.59
reopen,489,53.14,20.59
soap,490,53.14,20.59
spokesperson,491,53.14,20.59
superior,492,53.14,20.59
airfare,493,52.98,19.86
bake,494,52.98,19.86
businessperson,495,52.98,19.86
considerably,496,52.98,19.86
faulty,497,53.14,20.59
hobby,498,52.98,19.86
informal,499,52.98,19.86
kilometer,500,52.98,19.86
lawn,501,52.98,19.86
microscope,502,52.98,19.86
mislead,503,52.98,19.86
misplace,504,52.98,19.86
newsstand,505,52.98,19.86
overhead,506,52.98,19.86
portfolio,507,52.98,19.86
rack,508,52.98,19.86
remodel,509,52.98,19.86
statistics,510,52.98,19.86
tunnel,511,52.98,19.86
unlimited,512,52.98,19.86
vitamin,513,52.98,19.86
zoo,514,52.98,19.86
alert,515,52.82,19.12
auditorium,516,52.82,19.12
celebrity,517,52.82,19.12
deduct,518,52.82,19.12
disruption,519,52.82,19.12
electrician,520,52.82,19.12
enthusiastic,521,52.82,19.12
graduation,522,52.82,19.12
icy,523,52.82,19.12
irregular,524,52.82,19.12
login,525,52.82,19.12
managerial,526,52.82,19.12
mineral,527,52.82,19.12
motorcycle,528,52.82,19.12
necessity,529,52.82,19.12
planner,530,52.82,19.12
programmer,531,52.82,19.12
proofread,532,52.82,19.12
recruiter,533,52.82,19.12
remainder,534,52.82,19.12
statue,535,52.82,19.12
steadily,536,52.82,19.12
stockholder,537,52.82,19.12
vacant,538,52.82,19.12
accessory,539,52.64,18.39
assembly,540,52.64,18.39
basket,541,52.64,18.39
certification,542,52.64,18.39
closure,543,52.64,18.39
dislike,544,52.64,18.39
downstairs,545,52.64,18.39
expiration,546,52.64,18.39
headache,547,52.64,18.39
jam,548,52.64,18.39
nail,549,52.64,18.39
optimistic,550,52.64,18.39
pedestrian,551,52.64,18.39
projection,552,52.64,18.39
sleeve,553,52.64,18.39
suburb,554,52.64,18.39
takeover,555,52.64,18.39
unsure,556,52.64,18.39
upstairs,557,52.64,18.39
verbal,558,52.64,18.39
visa,559,52.64,18.39
wildlife,560,52.64,18.39
workforce,561,52.64,18.39
absent,562,52.47,17.65
accumulate,563,52.47,17.65
appraisal,564,52.47,17.65
apprentice,565,52.47,17.65
businessman,566,52.47,17.65
ceiling,567,52.47,17.65
colorful,568,52.47,17.65
compensate,569,52.47,17.65
costume,570,52.47,17.65
editorial,571,52.47,17.65
effectiveness,572,52.47,17.65
facilitate,573,52.47,17.65
firefighter,574,52.47,17.65
gasoline,575,52.47,17.65
inappropriate,576,52.47,17.65
internet,577,52.47,17.65
landlord,578,52.47,17.65
layout,579,52.47,17.65
lunchtime,580,52.47,17.65
payroll,581,52.47,17.65
pharmaceutical,582,52.47,17.65
plausible,583,52.47,17.65
premium,584,52.47,17.65
safely,585,52.47,17.65
simplify,586,52.47,17.65
specialty,587,52.47,17.65
tech,588,52.47,17.65
unexpected,589,52.47,17.65
unspecified,590,52.47,17.65
adhere,591,52.28,16.92
bankrupt,592,52.28,16.92
caution,593,52.28,16.92
clip,594,52.28,16.92
comply,595,52.28,16.92
diner,596,52.28,16.92
duplicate,597,52.28,16.92
eager,598,52.28,16.92
economist,599,52.28,16.92
embassy,600,52.28,16.92
fasten,601,52.28,16.92
harmful,602,52.28,16.92
informative,603,52.28,16.92
institute,604,52.28,16.92
kit,605,52.28,16.92
locally,606,52.28,16.92
mentor,607,52.28,16.92
nominate,608,52.28,16.92
opt,609,52.28,16.92
parade,610,52.28,16.92
physician,611,52.28,16.92
polish,612,52.28,16.92
postage,613,52.28,16.92
recreational,614,52.28,16.92
rehearse,615,52.28,16.92
removal,616,52.28,16.92
satisfactory,617,52.28,16.92
seasonal,618,52.47,17.65
separately,619,52.28,16.92
turnover,620,52.28,16.92
unnecessary,621,52.28,16.92
accordingly,622,52.09,16.18
apple,623,52.09,16.18
applicable,624,52.09,16.18
auction,625,52.09,16.18
balcony,626,52.09,16.18
basement,627,52.09,16.18
